Site_Code,Tree_ID,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West
SR1,W-4,47 06 35.56,68 12 49.24
SR1,W-5,47 06 36.40,68 12 49.88
SR1,R-6,47 06 36.29,68 12 50.37
SR1,W-7,47 06 35.99,68 12 50.12
SR1,W-8,47 06 35.91,68 12 50.45
SR1,W-9,47 06 35.58,68 12 51.03
SR1,W-10,47 06 35.36,68 12 51.64
SR1,W-11,47 06 34.82,68 12 50.94
SR1,W-12,47 06 34.54,68 12 50.64
SR1,W-13,47 06 34.44,68 12 50.41
SR1,R-14,47 06 34.21,68 12 51.30
SR1,W-15,47 06 33.68,68 12 51.01
SR1,W-16,47 06 33.08,68 12 51.14
SR1,W-17,47 06 32.45,68 12 51.41
SR1,W-18,47 06 32.50,68 12 51.73
SR1,W-19,47 06 32.05,68 12 52.10
SR1,W-20,47 06 31.55,68 12 50.75
SR1,W-21,47 06 31.78,68 12 51.72
SR1,W-22,47 06 31.87,68 12 50.60
SR1,W-23,47 06 31.84,68 12 50.43
SR1,W-24,47 06 32.55,68 12 50.36
SR1,W-25,47 06 36.10,68 12 49.82
HB3,Asp-1,46 50 14.9,68 40 6.16
HB3,Bal-2,46 54 15.45,68 40.6 26
HB3,Bal-3,46 54 15.45,68 40 6.35
HB3,Bal-4,46 54 13.51,68 40 6.44
HB3,Bal-5,46 54 13.44,68 40 6.50
HB3,Bal-6,46 54 13.04,68 40 6.55
HB3,Bal-15,46 54 11.18,68 40 6.60
HB3,Bal-16,46 54 10.96,68 40 6.60
HB3,Bal-23,46 54 10.54,68 40 7.52
HB3,Bal-28,46 54 11.31,68 40 7.33
HB3,Bal-29,46 54 11.49,68 40 7.26
HB3,Bal-30,46 54 11.79,68 40 7.17
HB3,Bal-31,46 54 12.20,68 40 7.33
HB3,Bal-33,46 54 13.60,68 40 7.05
HB3,Bal-34,46 54 10.29,68 40 4.97
HB3,W-14,46 54 12.56,68 40 6.38
