Latitude,Longitude,Site Code_Tree ID
,,RR-1_Asp-44
46 55 35.74,68 42 36.12,RR-1_Bal-46
46 55 35.35,68 42 35.29,RR-1_Asp-52
46 55 35.29,68 42 35.28,RR-1_Asp-53
46 55 35.14,68 42 38.39,RR-1_Asp-54?
,,RR-1_Bal-1
46 55 34.04,68 42 37.13,RR-1_Bal-2
46 55 34.36,68 42 37.65,RR-1_Bal-3
46 55 34.66,68 42 38.55,RR-1_Bal-7
,,RR-1_Bal-11
,,RR-1_Bal-16
,,RR-1_Bal-23
46 55 35.61,68 42 36.64,RR-1_Bal-43
46 55 35.55,68 42 36.05,RR-1_Bal-46?
46 55 35.48,68 42 35.96,RR-1_Bal-47?
46 55 35.53,68 42 35.77,RR-1_Bal-48
46 55 35.52,68 42 35.48,RR-1_Bal-49
46 55 35.51,68 42 35.41,RR-1_Bal-50
46 55 35.17,68 42 35.52,RR-1_Bal-55?
46 55 35.50,68 42 35.38,RR-1_Bal-51
46 55 35.15,68 42 38.56,RR-1_Asp-14
46 55 35.12,68 42 58.67,RR-1_Big-13
46 55 35.68,68 42 37.63,RR-1_BIg-27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
