Sampling_Date,Site_Code,Tree_ID,Genus,Species,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West,dbh_cm,No_stem_cankers,Total_tree_height_m,Crown_density_percent,Crown_dieback_percent,Vigor_class,Uncompacted_live_crown_ratio,diameter_squared_x_height_cubic_cm,SLA_cm2_per_g,Area_per_needle_cm2,Fv_Fm,Amax_normalized_umol_per_m2_sec,gsw_normalized_umol_per_m2_sec,Branch_2_Fv_Fm,Branch_2_Amax,Branch_2_Rday,Branch_2_Phi,Branch_2_Theta,Branch_2_g_sw,Branch_3_Fv_Fm,Branch_3_Amax,Branch_3_Rday,Branch_3_Phi,Branch_3_Theta,Branch_3_g_sw,Fv_Fm,Average_Condensed_TANNINS_percent_DW,Average_SUGAR_percent_DW,Average_STARCH_percent_DW,
7/1/2022,HB3,W-21,Picea ,glauca,46 54 9.33,68 40 6.83,18.3,0,11.0,25,35,2,0.44,368315,71.2,0.1498,0.91,4.84,0.03,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,0.92,NA,20.8,5.5,
7/1/2022,HB3,W-22,Picea ,glauca,46 54 9.61,68 40 7.12,19.6,0,6.8,90,5,1,1.00,259756,26.5,0.1538,0.95,26.21,0.29,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.95,3.7,21.4,3.6,
7/1/2022,HB3,R-24,Picea ,rubens,46 54 10.49,68 40 7.52,9.1,0,5.7,80,5,1,1.00,47857,64.4,0.1543,0.89,11.31,0.27,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.93,3.9,14.1,2.8,
7/1/2022,HB3,W-25,Picea ,glauca,46 54 10.22,68 40 8.19,16.0,0,11.5,35,10,1,0.87,294548,45.7,0.1373,0.95,14.18,0.13,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.95,7.9,21.9,2.5,
7/1/2022,HB3,R-26,Picea ,rubens,46 54 10.53,NA,10.2,0,4.9,85,0,1,1.00,50700,53.4,0.1696,0.95,15.42,0.26,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,4.6,16.6,2.3,
7/1/2022,HB3,W-27,Picea ,glauca,46 54 10.43,68 40 7.74,23.4,0,8.8,80,25,1,1.00,481677,43.9,0.1082,0.93,22.80,0.22,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.95,5.1,21.7,3.8,
7/1/2022,HB3,W-32,Picea ,glauca,46 54 12.44,68 40 7.34,9.9,0,9.1,65,0,1,0.83,89159,49.1,0.1586,0.88,4.06,0.05,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.92,4.7,22.5,2.7,
7/1/2022,HB3,W-35,Picea ,glauca,46 54 10.38,68 40 5.77,11.9,0,11.5,25,25,2,0.33,164220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,W-36,Picea ,glauca,46 54 8.24,68 40 5.32,15.0,0,NA,NA,NA,NA,NA,NA,45.1,0.1122,0.95,1.66,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.95,NA,23.2,2.7,
7/1/2022,HB3,R-37,Picea ,rubens,46 54 8.02,68 40 5.45,5.3,0,3.7,50,0,1,1.00,10584,67.2,0.1687,0.94,7.60,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,12.6,9.0,
